Date,Open,High,Low,Close,Adj Close,Volume
2023-02-06,78.097504,78.205002,77.644997,78.137497,78.137497,194160
2023-02-07,78.029999,78.180008,77.682510,78.010002,78.010002,54499
2023-02-08,78.942497,78.997498,78.055000,78.055000,78.055000,152853
2023-02-09,78.477501,78.930008,78.217499,78.232498,78.232498,152244
2023-02-10,77.404999,77.567497,76.849998,77.349998,77.349998,107247
2023-02-13,77.492500,78.327499,77.430008,78.209999,78.209999,67270
2023-02-14,78.527496,79.084999,77.817497,77.817497,77.817497,199885
2023-02-15,78.047501,78.379997,77.964996,78.275002,78.275002,90474
2023-02-16,78.860001,78.919998,77.637497,78.212502,78.212502,86006
2023-02-17,77.267502,77.425003,76.862503,76.897499,76.897499,60118
2023-02-20,77.389999,77.767502,77.197502,77.197502,77.197502,27905
2023-02-21,77.002502,77.373596,76.195000,76.195000,76.195000,79729
2023-02-22,76.017502,76.162514,75.629997,75.919998,75.919998,1668055
2023-02-23,76.089996,76.477509,75.647499,75.647499,75.647499,94448
2023-02-24,76.019997,76.077499,74.877502,75.191254,75.191254,78090
2023-02-27,75.547501,76.285004,75.537498,75.644997,75.644997,137583
2023-02-28,75.394997,75.995010,75.334999,75.642502,75.642502,134541
2023-03-01,75.550003,75.687500,74.800003,75.012497,75.012497,105507
2023-03-02,74.595001,75.027496,74.497498,74.860001,74.860001,117701
2023-03-03,75.452499,76.302498,75.452499,76.250000,76.250000,60415
2023-03-06,76.930000,77.474998,76.732498,77.309998,77.309998,61099
2023-03-07,77.012497,77.144997,76.057503,76.059998,76.059998,84086
2023-03-08,75.760002,75.960007,75.480003,75.654999,75.654999,83672
2023-03-09,75.779999,76.297501,75.570007,75.937500,75.937500,59617
2023-03-10,74.040001,74.872498,73.699997,74.737503,74.737503,110735
2023-03-13,74.512497,74.525002,72.334999,73.582497,73.582497,115263
2023-03-14,73.562500,74.817497,73.300003,74.478752,74.478752,164239
2023-03-15,74.525002,74.607498,72.887497,73.220001,73.220001,109586
2023-03-16,73.977501,74.684998,73.160004,74.553749,74.553749,37340
2023-03-17,75.092499,75.269997,73.877502,74.305000,74.305000,145380
2023-03-20,73.724998,74.887497,73.260010,74.470001,74.470001,61177
2023-03-21,75.019997,75.714996,74.826202,75.386253,75.386253,66006
2023-03-22,75.632500,76.035004,75.567497,75.699997,75.699997,33058
2023-03-23,75.122498,75.872498,74.764999,75.610001,75.610001,90735
2023-03-24,75.050003,75.060402,74.032501,74.680000,74.680000,69532
2023-03-27,75.632500,75.832497,75.212509,75.480003,75.480003,86364
2023-03-28,75.537498,75.652496,75.022507,75.294998,75.294998,185773
2023-03-29,75.735001,76.062500,75.677513,75.942497,75.942497,122305
2023-03-30,76.440002,76.852509,76.419998,76.665001,76.665001,89684
2023-03-31,76.839996,77.355003,76.699997,77.355003,77.355003,35008
2023-04-03,77.639999,78.195007,77.605011,77.809998,77.809998,64812
2023-04-04,78.144997,78.559998,77.625000,77.690002,77.690002,144330
2023-04-05,77.730003,77.777496,77.210007,77.415001,77.415001,137584
2023-04-06,77.434998,77.837509,77.137497,77.412498,77.412498,74281
2023-04-11,77.834999,78.097504,77.657501,77.877502,77.877502,42152
2023-04-12,77.852501,78.585007,77.622498,77.842499,77.842499,107230
2023-04-13,77.724998,78.269997,77.587509,78.059998,78.059998,57344
2023-04-14,78.502502,78.904999,78.257507,78.260002,78.260002,38351
2023-04-17,78.577499,78.699997,78.287498,78.287498,78.287498,95381
2023-04-18,78.745003,79.105011,78.529999,78.577499,78.577499,67000
2023-04-19,78.532501,78.635002,78.227501,78.502502,78.502502,70109
2023-04-20,78.547501,78.567497,78.099998,78.282501,78.282501,69541
2023-04-21,78.172501,78.392502,78.000000,78.202499,78.202499,135879
2023-04-24,78.027496,78.529999,77.947510,78.177498,78.177498,29452
2023-04-25,78.227501,78.285004,77.785004,77.785004,77.785004,75886
2023-04-26,77.570000,77.585007,77.000000,77.447502,77.447502,78110
2023-04-27,77.199997,77.712509,77.022507,77.711250,77.711250,40752
2023-04-28,78.212502,78.827499,77.970001,78.752502,78.752502,125121
2023-05-02,79.025002,79.370010,77.595001,77.612503,77.612503,100280
2023-05-03,78.212502,78.419998,78.012497,78.127502,78.127502,32442
2023-05-04,77.687500,77.747498,76.777496,76.989998,76.989998,55831
2023-05-05,77.334999,78.222504,77.199997,78.172501,78.172501,32206
2023-05-09,78.349998,78.397507,78.059998,78.230003,78.230003,206938
2023-05-10,78.227501,78.794998,77.887497,78.364998,78.364998,128649
2023-05-11,78.607498,78.800003,77.925003,78.290001,78.290001,18326
2023-05-12,78.504997,78.742508,78.082497,78.086250,78.086250,29435
2023-05-15,78.482498,78.597504,77.982498,78.300003,78.300003,27374
2023-05-16,78.290001,78.500000,78.057503,78.297501,78.297501,78519
2023-05-17,78.062500,78.445000,77.985001,78.324997,78.324997,272811
2023-05-18,78.839996,79.407501,78.750000,79.277496,79.277496,279708
2023-05-19,79.752502,79.996101,79.510002,79.510002,79.510002,226780
2023-05-22,79.495003,79.892502,79.342499,79.697502,79.697502,83872
2023-05-23,79.629997,79.642502,79.224998,79.394997,79.394997,45703
2023-05-24,78.627502,78.717499,77.977501,78.107498,78.107498,103627
2023-05-25,78.632500,78.900009,78.342499,78.532501,78.532501,20810
2023-05-26,78.797501,79.790009,78.582497,79.527496,79.527496,44474
2023-05-30,80.097504,80.379997,79.750000,79.900002,79.900002,89713
2023-05-31,79.547501,79.772507,79.107498,79.107498,79.107498,72382
2023-06-01,79.537498,79.957497,79.232498,79.894997,79.894997,49775
2023-06-02,80.362503,81.260010,80.337509,81.220001,81.220001,71973
2023-06-05,81.302498,81.615013,81.232498,81.506248,81.506248,835545
2023-06-06,81.135002,81.407501,80.982498,81.239998,81.239998,89074
2023-06-07,81.345001,81.657501,81.195000,81.370003,81.370003,97916
2023-06-08,81.010002,81.375000,80.900009,81.355003,81.355003,177096
2023-06-09,81.425003,82.077499,81.262497,81.662498,81.662498,60239
2023-06-12,81.937500,82.057510,81.760002,81.910004,81.910004,83951
2023-06-13,82.675003,83.160004,82.400002,82.959999,82.959999,90953
2023-06-14,82.977501,83.437500,82.960007,83.394997,83.394997,61716
2023-06-15,82.722504,83.474998,82.410004,83.474998,83.474998,42211
2023-06-16,83.790001,84.222504,83.684998,83.794998,83.794998,61371
2023-06-19,83.477501,83.622498,83.302498,83.362503,83.362503,48931
2023-06-20,83.285004,83.389999,82.709999,82.904999,82.904999,194458
2023-06-21,83.029999,83.195007,82.580002,82.760002,82.760002,223726
2023-06-22,82.495003,82.862503,82.417503,82.657501,82.657501,125843
2023-06-23,82.690002,82.785004,82.257500,82.347504,82.347504,745894
2023-06-26,82.430000,82.620010,82.147499,82.302498,82.302498,160582
2023-06-27,82.239998,82.482498,82.065002,82.482498,82.482498,80263
2023-06-28,82.769997,82.962502,82.599998,82.940002,82.940002,84860
2023-06-29,82.947502,83.317497,82.834999,83.160004,83.160004,41910
2023-06-30,83.339996,84.285004,83.317497,84.072502,84.072502,172807
2023-07-03,84.290001,84.500000,84.160004,84.337502,84.337502,142873
2023-07-04,84.430000,85.654999,84.292503,84.410004,84.410004,19472
2023-07-05,84.177498,84.410004,83.900002,84.410004,84.410004,27441
2023-07-06,84.004997,84.004997,83.099998,83.207497,83.207497,37017
2023-07-07,83.487503,83.745003,83.334999,83.660004,83.660004,79920
2023-07-10,83.089996,87.699997,82.982498,83.449997,83.449997,61523
2023-07-11,83.732498,83.835007,83.497498,83.727501,83.727501,25997
2023-07-12,83.809998,85.067497,83.809998,84.885002,84.885002,39480
2023-07-13,85.010002,85.292511,84.947510,85.167503,85.167503,25769
2023-07-14,85.347504,85.832497,85.347504,85.635002,85.635002,56004
2023-07-17,85.292503,85.654999,85.242508,85.637497,85.637497,30153
2023-07-18,85.680000,86.047501,85.562500,85.970001,85.970001,33377
2023-07-19,86.400002,86.745010,86.312500,86.665001,86.665001,66327
2023-07-20,86.330002,86.552498,86.085007,86.290001,86.290001,21274
2023-07-21,86.142502,90.099998,85.987503,86.214996,86.214996,34316
2023-07-24,85.932503,86.445007,85.919998,86.330002,86.330002,39736
2023-07-25,86.412498,86.537498,86.254997,86.537498,86.537498,23813
2023-07-26,86.660004,86.737503,86.332497,86.452499,86.452499,37228
2023-07-27,86.910004,87.352509,86.842499,87.059998,87.059998,45546
2023-07-28,86.320000,86.972504,85.922501,86.970001,86.970001,54346
2023-07-31,86.807503,87.087509,86.750000,86.852501,86.852501,45325
2023-08-01,86.972504,87.180008,86.610001,86.705002,86.705002,46974
2023-08-02,86.290001,86.455002,85.650002,85.769997,85.769997,48758
2023-08-03,85.397499,85.512497,85.055008,85.417503,85.417503,38253
2023-08-04,85.669998,85.894997,85.252502,85.824997,85.824997,63346
